,tract,med_hh_income,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,COMM,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
90266,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90260,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90263,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90267,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
77936,06037206301,11153.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2074.0,539.0,1535.0,1420.0,366.0,924.0,42.0,53.0
77934,06037206301,11153.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2074.0,539.0,1535.0,1420.0,366.0,924.0,42.0,53.0
77933,06037206301,11153.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2074.0,539.0,1535.0,1420.0,366.0,924.0,42.0,53.0
77932,06037206301,11153.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2074.0,539.0,1535.0,1420.0,366.0,924.0,42.0,53.0
77931,06037206301,11153.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2074.0,539.0,1535.0,1420.0,366.0,924.0,42.0,53.0
77935,06037206301,11153.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2074.0,539.0,1535.0,1420.0,366.0,924.0,42.0,53.0
91184,06037207304,11430.0,Extremely Low Income,Yes,Yes,Yes,District 1,Downtown,2124.0,688.0,1436.0,1291.0,621.0,450.0,11.0,184.0
91185,06037207304,11430.0,Extremely Low Income,Yes,Yes,Yes,District 1,Downtown,2124.0,688.0,1436.0,1291.0,621.0,450.0,11.0,184.0
91186,06037207304,11430.0,Extremely Low Income,Yes,Yes,Yes,District 1,Downtown,2124.0,688.0,1436.0,1291.0,621.0,450.0,11.0,184.0
63075,06037207307,12283.0,Extremely Low Income,Yes,Yes,Yes,District 1,Downtown,1160.0,221.0,939.0,837.0,360.0,335.0,7.0,113.0
63074,06037207307,12283.0,Extremely Low Income,Yes,Yes,Yes,District 1,Downtown,1160.0,221.0,939.0,837.0,360.0,335.0,7.0,113.0
63073,06037207307,12283.0,Extremely Low Income,Yes,Yes,Yes,District 1,Downtown,1160.0,221.0,939.0,837.0,360.0,335.0,7.0,113.0
49984,06037206202,12344.0,Extremely Low Income,Yes,Yes,Yes,District 1,Little Tokyo,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
49976,06037206202,12344.0,Extremely Low Income,Yes,Yes,Yes,District 1,Little Tokyo,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
49977,06037206202,12344.0,Extremely Low Income,Yes,Yes,Yes,District 1,Little Tokyo,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
49978,06037206202,12344.0,Extremely Low Income,Yes,Yes,Yes,District 1,Little Tokyo,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
49979,06037206202,12344.0,Extremely Low Income,Yes,Yes,Yes,District 1,Little Tokyo,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
49983,06037206202,12344.0,Extremely Low Income,Yes,Yes,Yes,District 1,Little Tokyo,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
49980,06037206202,12344.0,Extremely Low Income,Yes,Yes,Yes,District 1,Little Tokyo,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
49993,06037206202,12344.0,Extremely Low Income,Yes,Yes,Yes,District 1,Little Tokyo,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
49992,06037206202,12344.0,Extremely Low Income,Yes,Yes,Yes,District 1,Little Tokyo,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
49991,06037206202,12344.0,Extremely Low Income,Yes,Yes,Yes,District 1,Little Tokyo,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
49990,06037206202,12344.0,Extremely Low Income,Yes,Yes,Yes,District 1,Little Tokyo,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
49989,06037206202,12344.0,Extremely Low Income,Yes,Yes,Yes,District 1,Little Tokyo,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
49988,06037206202,12344.0,Extremely Low Income,Yes,Yes,Yes,District 1,Little Tokyo,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
49987,06037206202,12344.0,Extremely Low Income,Yes,Yes,Yes,District 1,Little Tokyo,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
49982,06037206202,12344.0,Extremely Low Income,Yes,Yes,Yes,District 1,Little Tokyo,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
49985,06037206202,12344.0,Extremely Low Income,Yes,Yes,Yes,District 1,Little Tokyo,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
49981,06037206202,12344.0,Extremely Low Income,Yes,Yes,Yes,District 1,Little Tokyo,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
49986,06037206202,12344.0,Extremely Low Income,Yes,Yes,Yes,District 1,Little Tokyo,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
91595,06037221820,13630.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,2797.0,499.0,2298.0,2205.0,848.0,292.0,3.0,1044.0
91596,06037221820,13630.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,2797.0,499.0,2298.0,2205.0,848.0,292.0,3.0,1044.0
91590,06037221820,13630.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,2797.0,499.0,2298.0,2205.0,848.0,292.0,3.0,1044.0
91591,06037221820,13630.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,2797.0,499.0,2298.0,2205.0,848.0,292.0,3.0,1044.0
91592,06037221820,13630.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,2797.0,499.0,2298.0,2205.0,848.0,292.0,3.0,1044.0
91593,06037221820,13630.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,2797.0,499.0,2298.0,2205.0,848.0,292.0,3.0,1044.0
91594,06037221820,13630.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,2797.0,499.0,2298.0,2205.0,848.0,292.0,3.0,1044.0
58131,06037265306,15417.0,Extremely Low Income,Yes,Yes,Yes,District 3,Westwood,2081.0,364.0,1717.0,1590.0,886.0,92.0,2.0,593.0
58132,06037265306,15417.0,Extremely Low Income,Yes,Yes,Yes,District 3,Westwood,2081.0,364.0,1717.0,1590.0,886.0,92.0,2.0,593.0
58129,06037265306,15417.0,Extremely Low Income,Yes,Yes,Yes,District 3,Westwood,2081.0,364.0,1717.0,1590.0,886.0,92.0,2.0,593.0
58127,06037265306,15417.0,Extremely Low Income,Yes,Yes,Yes,District 3,Westwood,2081.0,364.0,1717.0,1590.0,886.0,92.0,2.0,593.0
58128,06037265306,15417.0,Extremely Low Income,Yes,Yes,Yes,District 3,Westwood,2081.0,364.0,1717.0,1590.0,886.0,92.0,2.0,593.0
58126,06037265306,15417.0,Extremely Low Income,Yes,Yes,Yes,District 3,Westwood,2081.0,364.0,1717.0,1590.0,886.0,92.0,2.0,593.0
58130,06037265306,15417.0,Extremely Low Income,Yes,Yes,Yes,District 3,Westwood,2081.0,364.0,1717.0,1590.0,886.0,92.0,2.0,593.0
77865,06037224320,16471.0,Extremely Low Income,Yes,Yes,Yes,District 1,Pico-Union,2962.0,2619.0,343.0,308.0,63.0,157.0,11.0,66.0
77863,06037224320,16471.0,Extremely Low Income,Yes,Yes,Yes,District 1,Pico-Union,2962.0,2619.0,343.0,308.0,63.0,157.0,11.0,66.0
77869,06037224320,16471.0,Extremely Low Income,Yes,Yes,Yes,District 1,Pico-Union,2962.0,2619.0,343.0,308.0,63.0,157.0,11.0,66.0
77862,06037224320,16471.0,Extremely Low Income,Yes,Yes,Yes,District 1,Pico-Union,2962.0,2619.0,343.0,308.0,63.0,157.0,11.0,66.0
77866,06037224320,16471.0,Extremely Low Income,Yes,Yes,Yes,District 1,Pico-Union,2962.0,2619.0,343.0,308.0,63.0,157.0,11.0,66.0
77867,06037224320,16471.0,Extremely Low Income,Yes,Yes,Yes,District 1,Pico-Union,2962.0,2619.0,343.0,308.0,63.0,157.0,11.0,66.0
77868,06037224320,16471.0,Extremely Low Income,Yes,Yes,Yes,District 1,Pico-Union,2962.0,2619.0,343.0,308.0,63.0,157.0,11.0,66.0
77855,06037224320,16471.0,Extremely Low Income,Yes,Yes,Yes,District 1,Pico-Union,2962.0,2619.0,343.0,308.0,63.0,157.0,11.0,66.0
77861,06037224320,16471.0,Extremely Low Income,Yes,Yes,Yes,District 1,Pico-Union,2962.0,2619.0,343.0,308.0,63.0,157.0,11.0,66.0
77860,06037224320,16471.0,Extremely Low Income,Yes,Yes,Yes,District 1,Pico-Union,2962.0,2619.0,343.0,308.0,63.0,157.0,11.0,66.0
77859,06037224320,16471.0,Extremely Low Income,Yes,Yes,Yes,District 1,Pico-Union,2962.0,2619.0,343.0,308.0,63.0,157.0,11.0,66.0
77858,06037224320,16471.0,Extremely Low Income,Yes,Yes,Yes,District 1,Pico-Union,2962.0,2619.0,343.0,308.0,63.0,157.0,11.0,66.0
77864,06037224320,16471.0,Extremely Low Income,Yes,Yes,Yes,District 1,Pico-Union,2962.0,2619.0,343.0,308.0,63.0,157.0,11.0,66.0
77856,06037224320,16471.0,Extremely Low Income,Yes,Yes,Yes,District 1,Pico-Union,2962.0,2619.0,343.0,308.0,63.0,157.0,11.0,66.0
77857,06037224320,16471.0,Extremely Low Income,Yes,Yes,Yes,District 1,Pico-Union,2962.0,2619.0,343.0,308.0,63.0,157.0,11.0,66.0
89994,06037242600,16662.0,Extremely Low Income,Yes,Yes,Yes,District 2,Watts,4794.0,3142.0,1652.0,1574.0,29.0,1517.0,6.0,11.0
90007,06037242600,16662.0,Extremely Low Income,Yes,Yes,Yes,District 2,Watts,4794.0,3142.0,1652.0,1574.0,29.0,1517.0,6.0,11.0
90008,06037242600,16662.0,Extremely Low Income,Yes,Yes,Yes,District 2,Watts,4794.0,3142.0,1652.0,1574.0,29.0,1517.0,6.0,11.0
90009,06037242600,16662.0,Extremely Low Income,Yes,Yes,Yes,District 2,Watts,4794.0,3142.0,1652.0,1574.0,29.0,1517.0,6.0,11.0
90004,06037242600,16662.0,Extremely Low Income,Yes,Yes,Yes,District 2,Watts,4794.0,3142.0,1652.0,1574.0,29.0,1517.0,6.0,11.0
90003,06037242600,16662.0,Extremely Low Income,Yes,Yes,Yes,District 2,Watts,4794.0,3142.0,1652.0,1574.0,29.0,1517.0,6.0,11.0
90005,06037242600,16662.0,Extremely Low Income,Yes,Yes,Yes,District 2,Watts,4794.0,3142.0,1652.0,1574.0,29.0,1517.0,6.0,11.0
90002,06037242600,16662.0,Extremely Low Income,Yes,Yes,Yes,District 2,Watts,4794.0,3142.0,1652.0,1574.0,29.0,1517.0,6.0,11.0
90000,06037242600,16662.0,Extremely Low Income,Yes,Yes,Yes,District 2,Watts,4794.0,3142.0,1652.0,1574.0,29.0,1517.0,6.0,11.0
89999,06037242600,16662.0,Extremely Low Income,Yes,Yes,Yes,District 2,Watts,4794.0,3142.0,1652.0,1574.0,29.0,1517.0,6.0,11.0
89998,06037242600,16662.0,Extremely Low Income,Yes,Yes,Yes,District 2,Watts,4794.0,3142.0,1652.0,1574.0,29.0,1517.0,6.0,11.0
89997,06037242600,16662.0,Extremely Low Income,Yes,Yes,Yes,District 2,Watts,4794.0,3142.0,1652.0,1574.0,29.0,1517.0,6.0,11.0
89996,06037242600,16662.0,Extremely Low Income,Yes,Yes,Yes,District 2,Watts,4794.0,3142.0,1652.0,1574.0,29.0,1517.0,6.0,11.0
89995,06037242600,16662.0,Extremely Low Income,Yes,Yes,Yes,District 2,Watts,4794.0,3142.0,1652.0,1574.0,29.0,1517.0,6.0,11.0
90001,06037242600,16662.0,Extremely Low Income,Yes,Yes,Yes,District 2,Watts,4794.0,3142.0,1652.0,1574.0,29.0,1517.0,6.0,11.0
90006,06037242600,16662.0,Extremely Low Income,Yes,Yes,Yes,District 2,Watts,4794.0,3142.0,1652.0,1574.0,29.0,1517.0,6.0,11.0
20897,06037265307,16772.0,Extremely Low Income,Yes,Yes,Yes,District 3,Westwood,3190.0,372.0,2818.0,2756.0,1136.0,182.0,7.0,1391.0
20899,06037265307,16772.0,Extremely Low Income,Yes,Yes,Yes,District 3,Westwood,3190.0,372.0,2818.0,2756.0,1136.0,182.0,7.0,1391.0
20898,06037265307,16772.0,Extremely Low Income,Yes,Yes,Yes,District 3,Westwood,3190.0,372.0,2818.0,2756.0,1136.0,182.0,7.0,1391.0
20900,06037265307,16772.0,Extremely Low Income,Yes,Yes,Yes,District 3,Westwood,3190.0,372.0,2818.0,2756.0,1136.0,182.0,7.0,1391.0
20894,06037265307,16772.0,Extremely Low Income,Yes,Yes,Yes,District 3,Westwood,3190.0,372.0,2818.0,2756.0,1136.0,182.0,7.0,1391.0
20892,06037265307,16772.0,Extremely Low Income,Yes,Yes,Yes,District 3,Westwood,3190.0,372.0,2818.0,2756.0,1136.0,182.0,7.0,1391.0
20895,06037265307,16772.0,Extremely Low Income,Yes,Yes,Yes,District 3,Westwood,3190.0,372.0,2818.0,2756.0,1136.0,182.0,7.0,1391.0
20896,06037265307,16772.0,Extremely Low Income,Yes,Yes,Yes,District 3,Westwood,3190.0,372.0,2818.0,2756.0,1136.0,182.0,7.0,1391.0
20893,06037265307,16772.0,Extremely Low Income,Yes,Yes,Yes,District 3,Westwood,3190.0,372.0,2818.0,2756.0,1136.0,182.0,7.0,1391.0
20891,06037265307,16772.0,Extremely Low Income,Yes,Yes,Yes,District 3,Westwood,3190.0,372.0,2818.0,2756.0,1136.0,182.0,7.0,1391.0
74023,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74042,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74041,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74040,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74039,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74038,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74037,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74025,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74035,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74034,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74033,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74032,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74031,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74030,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74029,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74028,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74027,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74026,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74024,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
74036,06037240301,17096.0,Extremely Low Income,Yes,Yes,Yes,District 2,Vermont Vista,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
69935,06037221900,17768.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
69920,06037221900,17768.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
69923,06037221900,17768.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
69936,06037221900,17768.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
69922,06037221900,17768.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
69927,06037221900,17768.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
69934,06037221900,17768.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
69933,06037221900,17768.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
69932,06037221900,17768.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
69931,06037221900,17768.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
69930,06037221900,17768.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
69929,06037221900,17768.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
69928,06037221900,17768.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
69926,06037221900,17768.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
69921,06037221900,17768.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
69925,06037221900,17768.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
69924,06037221900,17768.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
49731,06037207502,17989.0,Extremely Low Income,Yes,Yes,Yes,District 1,Downtown,4113.0,695.0,3418.0,3272.0,918.0,535.0,10.0,1771.0
